,ID,Tweet,Sentiment
0,1.05345420634e+18,The #Halloween helmet is back!  And it can be yours when I’m finished with it. Get your tickets now at ,0
5,1.05345416221e+18,"The undead surround me. Have you ever talked to a corpse? It's boring! I'm lonely! Kill yourself, David, before you kill",-1
9,1.05345414458e+18,"Inktober Day Nineteen - Scorched
inktober #inktober #Inktober2018 #penandink sketchchallenge #halloween #GuildDraws",0
12,1.05345412327e+18,"More Halloween  decorations. To be honest, this is up year round. Giant skull in a black fez. #horseandanchor",0
14,1.05345411268e+18," When your daughter says she wants to be Ripley for #halloween, you do as you're told!
#Horror ",0
17,1.0534540595e+18,"More #halloween heat
#beatstars #musicproducer #beats #Halloween2018 #halloweeninspir",0
19,1.05345401649e+18,Black #velvet #cake  ready for your next #halloween #party that’s topped with,0
24,1.05345396717e+18,"Which Extra Strong Colour gel will you dare to bake with this #Halloween? 
BLOOD RED? 
PUMPKIN ORANGE? 
BAT BLACK? ",0
30,1.05345393356e+18,I know it's late in the season to be getting decorations! But I got this from CVS last night! #halloween ,0
32,1.05345392469e+18,Happy Halloween (almost)  #Halloween #aurora #northernlights #Auroraborealis #Autumn #a7s #sony #sigma #fairbanks #Alaska,1
33,1.05345392459e+18,"lol! !  ! ! ! ! !  Oh my,  I dont know What I would have done...  Probably the same thing...  #Halloween",0
41,1.05345382416e+18,Ayyyy sería una buena opción de entremés o regalitos para #Halloween,0
60,1.05345375224e+18,"#Halloween #CostumeIdeas #GameOfThrones #Quaithe Mask, Necklace, and Armbands - Free Shipping in the US",0
62,1.05345374911e+18,My newest book Death O Death is here and up for #PreOrder  #onsalenow Are you brave enough? Official release date #Halloween,0
73,1.05345366265e+18,ceppers and I had a very special horror mom's night out tonight!!! Soooo good #Halloween #horrormoms,1
74,1.05345366081e+18,So I guess we're doing this... Plus Ultra. #MyHeroAcademia #Halloween #dadlife,0
84,1.05345356089e+18,This is why you don't get your expectations super high: I was pretty disappointed in #Halloween. It's not terrible,-1
89,1.05345350317e+18,"Nueva oportunidad para ganar una caja de #FiniMonsterChallenge! 
¡Ponemos 3 en juego! Síguenos.
Haz Rt.
¡Mañana",0
92,1.05345347376e+18,13 days until #Halloween. Are you ready? Here are some suggestions and a special discount,0
98,1.05345419573e+18,"Hey Shea Butter Twitter, where are all of your #metoo white feminist, intersectional “allies”, who you are always kissing",0
101,1.05345414741e+18, I guess the #metoo movement didn't get the memo...you would think when someone openly admits to slap,-1
103,1.05345405721e+18,"In case you missed it....#writers. 

This #MeToo essay was Rejected repeatedly. I kept at it until(a 95% Rejection Ra",0
105,1.05345404316e+18,"She founded the #MeToo movement more than a decade ago, way before it was trending.

Today, @TaranaBurke works to ensure that",0
110,1.05345388e+18,#QAnon #MeToo #SethRich,0
114,1.05345383697e+18,"Hey Shea Butter Twitter, where are all of your #metoo white feminist, intersectional “allies”, who you are always kissing",0
117,1.05345377888e+18,"It looks like Obama did spy on Trump, just as he apparently did to me  #metoo",-1
119,1.0534537707e+18,Hillary Clinton has destroyed the #MeToo movement by not saying it was wrong what Bill Clinton did to Monica lewinsky,-1
120,1.0534537672e+18,"Claire McCaskill’s Husband Accused Of Hitting, Tripping, Peeing On Ex-Wife #MeToo ",-1
