ID,Tweet,Sentiment
1.05442773159584E+018,//t.c…,1
1.05442758495454E+018,//t.co/xnfhayJ5Mp via…,0
1.05442758228686E+018,I’m about to carve my pumpkin.  Check out my Instagram for more on Halloween and Thanksgiving… https://t.co/bUzszYXh1x,0
1.05442743255858E+018," With over 1800 students in the @VistaUnifiedSD who are hungry, homeless or both, there's a lot of need. You can help Vista…",0
1.05442733614425E+018,Crochet 3Fall #Autumn #Kitchen Dish Cloths Set Earth Tones Yellow Brown Beige Burnt Sienna Red Bath Wash Cloth Cott… https://t.co/8jrPbfJf8l,0
1.05442718758626E+018,It’s hard to believe that #Thanksgiving is just one month away. Sen. Klobuchar fought to ensure that whether a person…,0
1.05442718644953E+018,"Upcoming at Stamfords best kept secret. #pyc #ponusyc
.
.
.
 #stamford #fun #events #halloween #thanksgiving… https://t.co/SSqPqkThU1",1
1.05442717869844E+018,"With over 1800 students in the @VistaUnifiedSD who are hungry, homeless or both, there's a lot of need. You can hel… https://t.co/CS8dAxyt37",0
1.05442691499425E+018,"You deserve a Turkey day that's all fun &amp; relaxation--enjoy your #Thanksgiving feast @LonesomeDoveATX on Nov. 22, w… https://t.co/47TtucDZRr",-1
1.05442671584862E+018,#Thanksgiving is the Super Bowl of food not the time to cut corners..... or carbs😂😂 https://t.co/BVKZyf7JcV,-1
1.05442668966769E+018,65+ Thanksgiving Side Dishes #easyrecipes,0
1.05442667644302E+018,//t.c…,1
1.05442628163753E+018,#Thanksgiving #outfitoftheday #wearable #livingroom https://t.co/jbtdgR1N2l,-1
1.05442596619652E+018,Easy Thanksgiving Wreath DIY https://t.co/f9YQn1RB2y,-1
1.05442579860054E+018,made on my sewing machine: Fall Foliage Hodge-Podge Play Dress size 2 WTOKFHP https://t.co/oosP7NeNYE,-1
1.05442569885153E+018,It’s hard to believe that #Thanksgiving is just one month away. Sen. Klobuchar fought to ensure that whether a person…,0
1.05442568371418E+018,SAVE THE DATE!! #cards #greetingcards #papercrafts #gifts #bookmarks #copicmarkers #christmas  #thanksgiving… https://t.co/Ogkb8Xua7R,-1
1.0544255382599E+018,It’s hard to believe that #Thanksgiving is just one month away. Sen. Klobuchar fought to ensure that whether a person…,0
1.054425395121E+018,It’s hard to believe that #Thanksgiving is just one month away. Sen. Klobuchar fought to ensure that whether a pers… https://t.co/qVh4OOREPF,0
1.05442538411939E+018,#Vintage Johnson Brothers Canterbury Pattern Blue  White Square Dinner Plate c.1970's #etsysellsvintage #followvintag,0
1.05442491005822E+018," #Halloween is a fun time. 
#Send #fun Messages in a Bottle 
all year long to someone who #needs a little treat.

https…",1
1.05442483280329E+018,//t.co/qv8brTikjP,-1
1.05442481391634E+018,#handmade #fabric #pumpkind perfect for #halloween #halloweendecor #Halloween2018 #etsy #etsyshop #etsyseller #etsyfin…,0
1.05442454799727E+018," Just right for your #Thanksgiving gathering. 
Available in five styles, 50 per package, and in white or ecru.
""Thanksgiv…",-1
1.05442433417169E+018,One month until #Thanksgiving 🦃🥧 but more importantly #BlackFriday!!! Are you guys going to #shopsmall this holiday?!?,0
1.05442416296871E+018," Please join us for another fabulous traditional #Thanksgiving – #Family Style Luncheon at the @wyndhamalbrook 

$40 members a…",-1
1.05442398052073E+018,#Vintage Johnson Brothers Canterbury Pattern Blue  White Square Dinner Plate c.1970's #etsysellsvintage #followvintag…,0
1.05442392908163E+018,"Thanksgiving is a time of togetherness, gratitude and great food 🥘! Our 🦃 menus are now live on the website 😃. Chec… https://t.co/zhSpz7K0Oz",0
1.0544238151058E+018,Chef Michael Zachman and team present an over-the-top #Thanksgiving buffet on November 22! See the full #menu…,0
1.05442370020264E+018,Give back this fall! Help @ImagineHousing host Thanksgiving for its residents. #affordablehousing #thanksgiving https://t.co/h6DAisV5IR,0
